name,date,image,magnet,size,quality,last-updated,category
Photoshop 2025 26.10 for Mac,2025,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fpixelrocket.com.br%2Fwp-content%2Fuploads%2F2025%2F03%2FPHOTOSHOP-2025.png&f=1&nofb=1&ipt=e31dae1509bc877ac53154c108f64df082cb2db63cace4b0aa340a1b8f055503,magnet:?xt=urn:btih:25eb48985b0cc1d4b89fbd78576aa5472fde6191&dn=Adobe%20Photoshop%20v26.10.0%20Adobe%20Activation%20Tool.dmg&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann&tr=http%3A%2F%2Fretracker.local%2Fannounce,8.65GB,Nah,2025-09-10,Software
The Fast and The Furious[YTS],2001,https://upload.wikimedia.org/wikipedia/en/5/54/Fast_and_the_furious_poster.jpg,magnet:?xt=urn:btih:f6156a11aa8594553a63edcd5ac337d9a667e402&dn=The%20Fast%20and%20the%20Furious%20%282001%29%20%5B1080p%5D&tr=http%3A%2F%2Finferno.demonoid.me%3A3414%2Fannounce&tr=udp%3A%2F%2Ftracker.yify-torrents.com%2Fannounce&tr=udp%3A%2F%2Ftracker.1337x.org%3A80%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.publicbt.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.ccc.de%3A80%2Fannounce&tr=http%3A%2F%2Ftracker.yify-torrents.com%2Fannounce,1.4GB,1080p-BRip,2012-07-24,Films
Memento[YTS],2000,https://upload.wikimedia.org/wikipedia/en/c/c7/Memento_poster.jpg,magnet:?xt=urn:btih:ea69e4ca8642766ba3bfa2b0267e2cc53777afb2&dn=Memento%20%282000%29%20%5B1080p%5D&tr=udp%3A%2F%2Ftracker.yify-torrents.com%2Fannounce&tr=udp%3A%2F%2Ftracker.publichd.eu%2Fannounce&tr=http%3A%2F%2Ftracker.publichd.eu%2Fannounce&tr=udp%3A%2F%2Ftracker.police.maori.nz%2Fannounce&tr=udp%3A%2F%2Ftracker.1337x.org%3A80%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969&tr=udp%3A%2F%2Ftracker.istole.it%3A80&tr=udp%3A%2F%2Ftracker.ccc.de%3A80%2Fannounce&tr=http%3A%2F%2Ftracker.yify-torrents.com%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2710%2Fannounce,1.6GB,1080p-BRip,2012-07-17,Films
Curb Your Enthusiasm,1999,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51jppkZHOkL._AC_UY1000_.jpg&f=1&nofb=1&ipt=4fa3f686b19af61cc3900086034a838365c0fd01066e14342cf327a78b6c5df9,magnet:?xt=urn:btih:324da9e8ef793afddd80680e1beacf5f3dbfe1f0&dn=Curb%20Your%20Enthusiasm%20Seasons%201-9%20%281080%20x265%2010bit%29%20Burdock&tr=udp%3A%2F%2Ftracker.bitsearch.to%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fipv4.tracker.harry.lu%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.moeking.me%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce,43.85GB,1080p-x265-10bit,2025,TV
The Matrix [YTS],1999,https://upload.wikimedia.org/wikipedia/en/d/db/The_Matrix.png,magnet:?xt=urn:btih:28dec3ac8cc8c5758730a334d98705dd698f7bc1&dn=The%20Matrix%20%281999%29%20%5B2160p%5D%20%5B4K%5D%20%5BBluRay%5D%20%5B5.1%5D%20%5BYTS.MX%5D&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.cyberia.is%3A6969%2Fannounce&tr=http%3A%2F%2Fp4p.arenabg.com%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337%2Fannounce,6.49GB,4K-BRip-5.1,2022-01-17,Films
Ford V Ferrari [YTS],2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Ford_v._Ferrari_%282019_film_poster%29.png,magnet:?xt=urn:btih:565e993f13b210aa00a6a0726df385ff24f49157&dn=Ford%20V%20Ferrari%20%282019%29%20%5B2160p%5D%20%5B4K%5D%20%5BBluRay%5D%20%5B5.1%5D%20%5BYTS.MX%5D&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2710%2Fannounce&tr=udp%3A%2F%2Fp4p.arenabg.com%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,8.75GB,4K-BRip-5.1,2020-02-06,Films
Terminator 2 Judgment Day [YTS],1991,https://upload.wikimedia.org/wikipedia/en/5/5e/Terminator_2-Judgment_Day.png,magnet:?xt=urn:btih:ca6f68ed06bc7b3258d06c384746f0280056e249&dn=Terminator%202%20Judgment%20Day%20%281991%29%20%5BTHEATRICAL%5D%20%5B2160p%5D%20%5B4K%5D%20%5BBluRay%5D%20%5B5.1%5D%20%5BYTS.MX%5D&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.cyberia.is%3A6969%2Fannounce&tr=http%3A%2F%2Fp4p.arenabg.com%3A1337%2Fannounce&tr=udp%3A%2F%2Fopen.tracker.cl%3A1337%2Fannounce,6.19GB,4K-BRip-5.1,2022-03-17,Films
Peacemaker Season 1,2021,https://static0.cbrimages.com/wordpress/wp-content/uploads/sharedimages/2025/05/peacemaker-season-2-poster-2.jpg?q=49&fit=contain&w=480&dpr=2,magnet:?xt=urn:btih:7e940fc5b361e03f82dca5c062ee64c3f12d37c2&dn=Peacemaker%20%282021%29%20Season%201%20S01%20%281080p%20HMAX%20WEB-DL%20x265%20HEVC%2010bit%20AC3%205.1%20Silence%29&tr=udp%3A%2F%2Ftracker2.dler.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fwww.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fpow7.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.bitsearch.to%3A1337%2Fannounce,10.64GB,1080p-x265-5.1,2025,TV
The Lego Batman Movie [YTS],2017,https://upload.wikimedia.org/wikipedia/en/6/61/The_Lego_Batman_Movie_PromotionalPoster.jpg,magnet:?xt=urn:btih:a7c72004673afb781831de1d61abfee8f5002240&dn=The%20Lego%20Batman%20Movie%20%282017%29%20%5B2160p%5D%20%5B4K%5D%20%5BBluRay%5D%20%5B5.1%5D%20%5BYTS.MX%5D&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fp4p.arenabg.com%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.dler.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Fipv4.tracker.harry.lu%3A80%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce,4.93GB,4K-BRip-5.1,2024-01-03,Films
Saw [YTS],2004,https://upload.wikimedia.org/wikipedia/en/5/56/Saw_official_poster.jpg,magnet:?xt=urn:btih:a7c72004673afb781831de1d61abfee8f5002240&dn=The%20Lego%20Batman%20Movie%20%282017%29%20%5B2160p%5D%20%5B4K%5D%20%5BBluRay%5D%20%5B5.1%5D%20%5BYTS.MX%5D&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fp4p.arenabg.com%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.dler.org%3A6969%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Fipv4.tracker.harry.lu%3A80%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce,4.93GB,4K-BRip-5.1,2021-05-23,Films
